,Price
2008-06-19,17.524
2008-06-20,17.451
2008-06-21,17.147
2008-06-22,17.147
2008-06-23,16.843
2008-06-24,16.686
2008-06-25,16.555
2008-06-26,17.169
2008-06-27,17.71
2008-06-28,17.61
2008-06-29,17.61
2008-06-30,17.51
2008-07-01,18.29
2008-07-02,18.425
2008-07-03,18.37
2008-07-04,18.2
2008-07-05,18.060000000000002
2008-07-06,18.060000000000002
2008-07-07,17.92
2008-07-08,17.955
2008-07-09,18.175
2008-07-10,18.32
2008-07-11,18.82
2008-07-12,19.035
2008-07-13,19.035
2008-07-14,19.25
2008-07-15,19.013
2008-07-16,18.805
2008-07-17,18.735
2008-07-18,18.2
2008-07-19,18.3125
2008-07-20,18.3125
2008-07-21,18.425
2008-07-22,18.005
2008-07-23,17.458
2008-07-24,17.298
2008-07-25,17.375
2008-07-26,17.42
2008-07-27,17.42
2008-07-28,17.465
2008-07-29,17.375
2008-07-30,17.465
2008-07-31,17.841
2008-08-01,17.571
2008-08-02,17.3805
2008-08-03,17.3805
2008-08-04,17.19
2008-08-05,16.618
2008-08-06,16.551
2008-08-07,16.303
2008-08-08,15.374
2008-08-09,15.0175
2008-08-10,15.0175
2008-08-11,14.661
2008-08-12,14.525
2008-08-13,14.887
2008-08-14,14.272
2008-08-15,12.85
2008-08-16,12.992999999999999
2008-08-17,12.992999999999999
2008-08-18,13.136
2008-08-19,13.14
2008-08-20,13.075
2008-08-21,13.762
2008-08-22,13.512
2008-08-23,13.4575
2008-08-24,13.4575
2008-08-25,13.403
2008-08-26,13.606
2008-08-27,13.499
2008-08-28,13.705
2008-08-29,13.671
2008-08-30,13.3915
2008-08-31,13.3915
2008-09-01,13.3915
2008-09-02,13.112
2008-09-03,12.916
2008-09-04,12.91
2008-09-05,12.295
2008-09-06,12.1655
2008-09-07,12.1655
2008-09-08,12.036
2008-09-09,11.686
2008-09-10,10.861
2008-09-11,10.529
2008-09-12,10.77
2008-09-13,10.94
2008-09-14,10.94
2008-09-15,11.11
2008-09-16,10.494
2008-09-17,11.652
2008-09-18,12.677
2008-09-19,12.453
2008-09-20,12.9405
2008-09-21,12.9405
2008-09-22,13.428
2008-09-23,13.148
2008-09-24,13.412
2008-09-25,13.248
2008-09-26,13.48
2008-09-27,13.252500000000001
2008-09-28,13.252500000000001
2008-09-29,13.025
2008-09-30,12.275
2008-10-01,12.77
2008-10-02,11.12
2008-10-03,11.325
2008-10-04,11.305
2008-10-05,11.305
2008-10-06,11.285
2008-10-07,11.38
2008-10-08,11.772
2008-10-09,11.875
2008-10-10,10.6
2008-10-11,10.695
2008-10-12,10.695
2008-10-13,10.79
2008-10-14,11.06
2008-10-15,10.18
2008-10-16,9.635
2008-10-17,9.335
2008-10-18,9.5125
2008-10-19,9.5125
2008-10-20,9.69
2008-10-21,10.075
2008-10-22,9.46
2008-10-23,9.5
2008-10-24,9.295
2008-10-25,9.245000000000001
2008-10-26,9.245000000000001
2008-10-27,9.195
2008-10-28,8.79
2008-10-29,9.805
2008-10-30,9.786
2008-10-31,9.733
2008-11-01,9.7445
2008-11-02,9.7445
2008-11-03,9.756
2008-11-04,10.137
2008-11-05,10.463
2008-11-06,10.064
2008-11-07,9.976
2008-11-08,10.107
2008-11-09,10.107
2008-11-10,10.238
2008-11-11,9.822
2008-11-12,9.494
2008-11-13,8.809
2008-11-14,9.502
2008-11-15,9.4215
2008-11-16,9.4215
2008-11-17,9.341
2008-11-18,9.56
2008-11-19,9.319
2008-11-20,9.033
2008-11-21,9.492
2008-11-22,9.9285
2008-11-23,9.9285
2008-11-24,10.365
2008-11-25,10.282
2008-11-26,10.22
2008-11-27,10.214
2008-11-28,10.208
2008-11-29,9.786999999999999
2008-11-30,9.786999999999999
2008-12-01,9.366
2008-12-02,9.601
2008-12-03,9.575
2008-12-04,9.506
2008-12-05,9.416
2008-12-06,9.687000000000001
2008-12-07,9.687000000000001
2008-12-08,9.958
2008-12-09,9.833
2008-12-10,10.183
2008-12-11,10.408
2008-12-12,10.216
2008-12-13,10.411
2008-12-14,10.411
2008-12-15,10.606
2008-12-16,10.691
2008-12-17,11.406
2008-12-18,11.106
2008-12-19,10.836
2008-12-20,10.841000000000001
2008-12-21,10.841000000000001
2008-12-22,10.846
2008-12-23,10.248
2008-12-24,10.338
2008-12-25,10.428
2008-12-26,10.518
2008-12-27,10.658000000000001
2008-12-28,10.658000000000001
2008-12-29,10.798
2008-12-30,10.98
2008-12-31,11.295
2009-01-01,11.3925
2009-01-02,11.49
2009-01-03,11.379999999999999
2009-01-04,11.379999999999999
2009-01-05,11.27
2009-01-06,11.445
2009-01-07,11.105
2009-01-08,11.097
2009-01-09,11.32
2009-01-10,11.035
2009-01-11,11.035
2009-01-12,10.75
2009-01-13,10.68
2009-01-14,10.475
2009-01-15,10.44
2009-01-16,11.215
2009-01-17,11.195
2009-01-18,11.195
2009-01-19,11.175
2009-01-20,11.175
2009-01-21,11.325
2009-01-22,11.365
2009-01-23,11.94
2009-01-24,12.024999999999999
2009-01-25,12.024999999999999
2009-01-26,12.11
2009-01-27,12.175
2009-01-28,11.963
2009-01-29,12.145
2009-01-30,12.575
2009-01-31,12.5
2009-02-01,12.5
2009-02-02,12.425
2009-02-03,12.31
2009-02-04,12.482
2009-02-05,12.763
2009-02-06,13.175
2009-02-07,13.0095
2009-02-08,13.0095
2009-02-09,12.844
2009-02-10,13.145
2009-02-11,13.537
2009-02-12,13.527
2009-02-13,13.643
2009-02-14,13.8265
2009-02-15,13.8265
2009-02-16,14.01
2009-02-17,14.03
2009-02-18,14.31
2009-02-19,13.954
2009-02-20,14.51
2009-02-21,14.4895
2009-02-22,14.4895
2009-02-23,14.469
2009-02-24,14.013
2009-02-25,13.893
2009-02-26,12.975
2009-02-27,13.11
2009-02-28,13.09
2009-03-01,13.09
2009-03-02,13.07
2009-03-03,12.715
2009-03-04,12.915
2009-03-05,13.12
2009-03-06,13.333
2009-03-07,13.1365
2009-03-08,13.1365
2009-03-09,12.94
2009-03-10,12.54
2009-03-11,12.8
2009-03-12,12.943
2009-03-13,13.215
2009-03-14,13.0525
2009-03-15,13.0525
2009-03-16,12.89
2009-03-17,12.67
2009-03-18,11.935
2009-03-19,13.52
2009-03-20,13.84
2009-03-21,13.8575
2009-03-22,13.8575
2009-03-23,13.875
2009-03-24,13.357
2009-03-25,13.437
2009-03-26,13.62
2009-03-27,13.263
2009-03-28,13.148
2009-03-29,13.148
2009-03-30,13.033
2009-03-31,12.999
2009-04-01,12.989
2009-04-02,13.039
2009-04-03,12.749
2009-04-04,12.436
2009-04-05,12.436
2009-04-06,12.123
2009-04-07,12.223
2009-04-08,12.353
2009-04-09,12.344
2009-04-10,12.562999999999999
2009-04-11,12.562999999999999
2009-04-12,12.562999999999999
2009-04-13,12.782
2009-04-14,12.779
2009-04-15,12.814
2009-04-16,12.268
2009-04-17,11.802
2009-04-18,11.96
2009-04-19,11.96
2009-04-20,12.118
2009-04-21,12.073
2009-04-22,12.319
2009-04-23,12.769
2009-04-24,12.935
2009-04-25,12.9525
2009-04-26,12.9525
2009-04-27,12.97
2009-04-28,12.413
2009-04-29,12.775
2009-04-30,12.325
2009-05-01,12.5
2009-05-02,12.8065
2009-05-03,12.8065
2009-05-04,13.113
2009-05-05,13.42
2009-05-06,13.71
2009-05-07,14.03
2009-05-08,13.955
2009-05-09,13.932500000000001
2009-05-10,13.932500000000001
2009-05-11,13.91
2009-05-12,14.215
2009-05-13,14.02
2009-05-14,14.04
2009-05-15,14.01
2009-05-16,13.92
2009-05-17,13.92
2009-05-18,13.83
2009-05-19,14.125
2009-05-20,14.28
2009-05-21,14.445
2009-05-22,14.695
2009-05-23,14.6475
2009-05-24,14.6475
2009-05-25,14.6
2009-05-26,14.6
2009-05-27,14.865
2009-05-28,15.16
2009-05-29,15.622
2009-05-30,15.685500000000001
2009-05-31,15.685500000000001
2009-06-01,15.749
2009-06-02,15.97
2009-06-03,15.325
2009-06-04,15.911
2009-06-05,15.405
2009-06-06,15.1885
2009-06-07,15.1885
2009-06-08,14.972
2009-06-09,15.158
2009-06-10,15.243
2009-06-11,15.511
2009-06-12,14.892
2009-06-13,14.4695
2009-06-14,14.4695
2009-06-15,14.047
2009-06-16,14.147
2009-06-17,14.297
2009-06-18,14.257
2009-06-19,14.217
2009-06-20,13.969000000000001
2009-06-21,13.969000000000001
2009-06-22,13.721
2009-06-23,13.86
2009-06-24,13.926
2009-06-25,14.019
2009-06-26,14.143
2009-06-27,14.059000000000001
2009-06-28,14.059000000000001
2009-06-29,13.975
2009-06-30,13.6
2009-07-01,13.76
2009-07-02,13.408
2009-07-03,13.238
2009-07-04,13.238
2009-07-05,13.238
2009-07-06,13.238
2009-07-07,13.22
2009-07-08,12.852
2009-07-09,12.935
2009-07-10,12.645
2009-07-11,12.715
2009-07-12,12.715
2009-07-13,12.785
2009-07-14,12.855
2009-07-15,13.208
2009-07-16,13.235
2009-07-17,13.403
2009-07-18,13.514
2009-07-19,13.514
2009-07-20,13.625
2009-07-21,13.478
2009-07-22,13.7
2009-07-23,13.77
2009-07-24,13.875
2009-07-25,13.932500000000001
2009-07-26,13.932500000000001
2009-07-27,13.99
2009-07-28,13.74
2009-07-29,13.258
2009-07-30,13.485
2009-07-31,13.96
2009-08-01,14.1165
2009-08-02,14.1165
2009-08-03,14.273
2009-08-04,14.716
2009-08-05,14.781
2009-08-06,14.667
2009-08-07,14.69
2009-08-08,14.533
2009-08-09,14.533
2009-08-10,14.376
2009-08-11,14.364
2009-08-12,14.605
2009-08-13,15.008
2009-08-14,14.743
2009-08-15,14.3665
2009-08-16,14.3665
2009-08-17,13.99
2009-08-18,13.975
2009-08-19,13.889
2009-08-20,13.891
2009-08-21,14.176
2009-08-22,14.192
2009-08-23,14.192
2009-08-24,14.208
2009-08-25,14.323
2009-08-26,14.266
2009-08-27,14.23
2009-08-28,14.815
2009-08-29,14.8645
2009-08-30,14.8645
2009-08-31,14.914
2009-09-01,15.051
2009-09-02,15.356
2009-09-03,16.279
2009-09-04,16.274
2009-09-05,16.392000000000003
2009-09-06,16.392000000000003
2009-09-07,16.51
2009-09-08,16.499
2009-09-09,16.458
2009-09-10,16.658
2009-09-11,16.688
2009-09-12,16.65
2009-09-13,16.65
2009-09-14,16.612
2009-09-15,16.989
2009-09-16,17.419
2009-09-17,17.254
2009-09-18,17.054
2009-09-19,16.9615
2009-09-20,16.9615
2009-09-21,16.869
2009-09-22,17.104
2009-09-23,16.899
2009-09-24,16.284
2009-09-25,16.049
2009-09-26,16.116500000000002
2009-09-27,16.116500000000002
2009-09-28,16.184
2009-09-29,16.178
2009-09-30,16.658
2009-10-01,16.44
2009-10-02,16.23
2009-10-03,16.3825
2009-10-04,16.3825
2009-10-05,16.535
2009-10-06,17.295
2009-10-07,17.5
2009-10-08,17.815
2009-10-09,17.69
2009-10-10,17.755000000000003
2009-10-11,17.755000000000003
2009-10-12,17.82
2009-10-13,17.84
2009-10-14,17.908
2009-10-15,17.415
2009-10-16,17.42
2009-10-17,17.5225
2009-10-18,17.5225
2009-10-19,17.625
2009-10-20,17.558
2009-10-21,17.825
2009-10-22,17.545
2009-10-23,17.723
2009-10-24,17.409
2009-10-25,17.409
2009-10-26,17.095
2009-10-27,16.54
2009-10-28,16.24
2009-10-29,16.665
2009-10-30,16.265
2009-10-31,16.3575
2009-11-01,16.3575
2009-11-02,16.45
2009-11-03,17.19
2009-11-04,17.415
2009-11-05,17.42
2009-11-06,17.385
2009-11-07,17.4385
2009-11-08,17.4385
2009-11-09,17.492
2009-11-10,17.233
2009-11-11,17.549
2009-11-12,17.277
2009-11-13,17.392
2009-11-14,17.9025
2009-11-15,17.9025
2009-11-16,18.413
2009-11-17,18.399
2009-11-18,18.428
2009-11-19,18.468
2009-11-20,18.454
2009-11-21,18.5395
2009-11-22,18.5395
2009-11-23,18.625
2009-11-24,18.469
2009-11-25,18.78
2009-11-26,18.335
2009-11-27,18.426000000000002
2009-11-28,18.426000000000002
2009-11-29,18.426000000000002
2009-11-30,18.517
2009-12-01,19.201
