,Price,P^0.5,P^2,P^3,P^4
2017-10-02,0.13182144236605417,0.36307222747829965,0.01737689266746694,0.0022906470552656027,0.00030195639877666634
2017-10-03,0.13419411797163824,0.3663251533428168,0.01800806129818596,0.00241657590228926,0.0003242902717192231
2017-10-04,0.13469072449373726,0.3670023494389883,0.018141591264647833,0.002443504070904672,0.0003291173336135466
2017-10-05,0.13408376096672736,0.3661744952433571,0.01797845495498248,0.002410618856734946,0.0003232248425683341
2017-10-06,0.13645643657231143,0.3694001036441536,0.018620359082013253,0.002540867848028405,0.0003467177723431135
2017-10-07,0.13091099707553935,0.36181624766660125,0.017137689155311872,0.0022435119748925353,0.0002937003895840942
2017-10-08,0.13091099707553935,0.36181624766660125,0.017137689155311872,0.0022435119748925353,0.0002937003895840942
2017-10-09,0.1253655575787673,0.3540699896613201,0.01571652302703522,0.001970310672483806,0.0002470090960593283
2017-10-10,0.11940627931357942,0.3455521368962713,0.014257859539512543,0.0017024779585888177,0.00020328655864846885
2017-10-11,0.11432985708767862,0.33812698367281874,0.013071316221689017,0.0014944417155735607,0.00017085930776739044
2017-10-12,0.1174750317276389,0.34274630811671614,0.013800383079409766,0.0016212004401072334,0.00019045057313845938
2017-10-13,0.12188931192407439,0.3491264984558955,0.014857004361324302,0.0018109100388547916,0.00022073057859240934
2017-10-14,0.1233515422391436,0.35121438216443185,0.015215602972775228,0.0018768680927903226,0.00023151457382512635
2017-10-15,0.1233515422391436,0.35121438216443185,0.015215602972775228,0.0018768680927903226,0.00023151457382512635
2017-10-16,0.12481377255421285,0.353289927048894,0.015578477819214776,0.0019444085872683228,0.00024268897116376675
2017-10-17,0.1233239529879159,0.35117510302969357,0.015208797380565691,0.001875609013163622,0.00023130751776310186
2017-10-18,0.12448270153948021,0.3528210616438313,0.01549594298256731,0.0019289768453717292,0.00024012424891897702
2017-10-19,0.12056502786514374,0.3472247512277081,0.014535925944122886,0.0017525243164988416,0.00021129314305302481
2017-10-20,0.12222038293880702,0.3496003188482628,0.01493782200570863,0.0018257063258094472,0.00022313852627423302
2017-10-21,0.12224797219003476,0.3496397748970142,0.014944566704575512,0.0018269429748930667,0.000223340073987507
2017-10-22,0.12224797219003476,0.3496397748970142,0.014944566704575512,0.0018269429748930667,0.000223340073987507
2017-10-23,0.12227556144126249,0.3496792264937431,0.014951312925775959,0.0018281801822832603,0.00022354175820447523
2017-10-24,0.12244109694862879,0.3499158426659599,0.014991822221983513,0.0018356151581184908,0.00022475473353555868
2017-10-25,0.12238591844617336,0.34983698839055505,0.014978313033913396,0.0018331345974297803,0.00022434986134189992
2017-10-26,0.12211002593389615,0.34944245010286906,0.014910858433576792,0.0018207653100207161,0.0002223336992261681
2017-10-27,0.12133752689951995,0.34833536555957095,0.014722795434091726,0.0017864275870202342,0.00021676070539411219
2017-10-28,0.12097886663355957,0.34782016421357687,0.014635886171940593,0.0017706329212591597,0.00021420916403800186
2017-10-29,0.12097886663355957,0.34782016421357687,0.014635886171940593,0.0017706329212591597,0.00021420916403800186
2017-10-30,0.12062020636759917,0.3473041986034709,0.014549234184162211,0.0017549316297841742,0.00021168021534559423
2017-10-31,0.1201235998455002,0.34658851660939405,0.014429679239841854,0.0017333450149056844,0.000208215642964723
2017-11-01,0.11079843293053024,0.3328639856315643,0.012276292739861208,0.0013601939977730673,0.000150707363434769
2017-11-02,0.11537824863433208,0.3396737385114311,0.013312140257925752,0.0015359314285340589,0.0001772130782466875
2017-11-03,0.11598521216134194,0.34056601733194397,0.013452569440111504,0.0015602991206265177,0.0001809716245410219
2017-11-04,0.12475859405175746,0.35321182603610185,0.015564706789771211,0.0019418309359196997,0.00024226009745155006
2017-11-05,0.12475859405175746,0.35321182603610185,0.015564706789771211,0.0019418309359196997,0.00024226009745155006
2017-11-06,0.13353197594217292,0.36542027303116736,0.017830788599021048,0.0023809804342344496,0.00031793702206297896
2017-11-07,0.12718644815979696,0.3566320907599272,0.01617639259550472,0.0020574179182606843,0.0002616756774038999
2017-11-08,0.1327042984053413,0.3642860118167335,0.017610430815253864,0.0023369798659540666,0.0003101272734988429
2017-11-09,0.12619323511559893,0.3552368718413095,0.01592473258894083,0.002009593523749251,0.00025359710802927416
2017-11-10,0.1282900182089058,0.3581759598422342,0.01645832877204138,0.0021114392978533463,0.00027087658596860505
2017-11-11,0.12884180323346023,0.35894540425176114,0.016600210260449683,0.0021388010240109257,0.0002755669806911389
2017-11-12,0.12884180323346023,0.35894540425176114,0.016600210260449683,0.0021388010240109257,0.0002755669806911389
2017-11-13,0.12939358825801467,0.35971320278523927,0.01674270068228463,0.002166398118410719,0.0002803180261365743
2017-11-14,0.1282900182089058,0.3581759598422342,0.01645832877204138,0.0021114392978533463,0.00027087658596860505
2017-11-15,0.12514484356894554,0.35375817102781604,0.01566123187189585,0.00195992241270539,0.00024527418374528637
2017-11-16,0.1272416266622524,0.3567094429115276,0.01619043155565602,0.002060096847505533,0.00026213007395838213
2017-11-17,0.12663466313524252,0.3558576444805458,0.016036337907376352,0.002030756248823524,0.00025716413347955574
2017-11-18,0.12740716216961873,0.35694139878923925,0.016232584972115525,0.0020681475859744385,0.0002634968148769508
2017-11-19,0.12740716216961873,0.35694139878923925,0.016232584972115525,0.0020681475859744385,0.0002634968148769508
2017-11-20,0.12817966120399493,0.3580218725217706,0.016430025546370925,0.0021059951081068068,0.00026994573945440114
2017-11-21,0.12972465927274732,0.36017309626448685,0.016828487223430385,0.0021830697711352886,0.0002831979822291598
